No.,Name,Add.,QTY,Perm.,Data Type,Gain,Unit,Hybrid Inv, PV inv.,Comment
1,Model type,30500,15,RO,STRING,N/A,N/A,√,√,
2,Serial number,30515,10,RO,STRING,N/A,N/A,√,√,
3,Machine firmware version,30525,15,RO,STRING,N/A,N/A,√,√,
4,Rated active power,30540,2,RO,U32,1000,kW,√,√,
5,Max. apparent power,30542,2,RO,U32,1000,kVA,√,√,
6,Max. active power,30544,2,RO,U32,1000,kW,√,√,
7,Max. absorption power,30546,2,RO,U32,1000,kW,√,,
8,Rated battery capacity,30548,2,RO,U32,100,kWh,√,,
9,[ESS] Rated charge power,30550,2,RO,U32,1000,kW,√,,
10,[ESS] Rated discharge power,30552,2,RO,U32,1000,kW,√,,
11,Reserved,30554,12,RO,N/A,N/A,N/A,,,
12,[ESS] Daily charge energy,30566,2,RO,U32,100,kWh,√,,
13,[ESS] Accumulated charge energy,30568,4,RO,U64,100,kWh,√,,
14,[ESS] Daily discharge energy,30572,2,RO,U32,100,kWh,√,,
15,[ESS] Accumulated discharge energy,30574,4,RO,U64,100,kWh,√,,
16,Running state,30578,1,RO,U16,N/A,N/A,√,√,Refer to Appendix 1
17,Max. active power adjustment value,30579,2,RO,S32,1000,kW,√,√,
18,Min. active power adjustment value,30581,2,RO,S32,1000,kW,√,,
19,Max. reactive power adjustment value fed to the ac terminal,30583,2,RO,U32,1000,kVar,√,√,
20,Max. reactive power adjustment value absorbed from the ac terminal,30585,2,RO,U32,1000,kVar,√,√,
21,Active power,30587,2,RO,S32,1000,kW,√,√,
22,Reactive power,30589,2,RO,S32,1000,kVar,√,√,
23,[ESS] Max. battery charge power,30591,2,RO,U32,1000,kW,√,,
24,[ESS] Max. battery discharge power,30593,2,RO,U32,1000,kW,√,,
25,[ESS] Available battery charge Energy,30595,2,RO,U32,100,kWh,√,,
26,[ESS] Available battery discharge Energy,30597,2,RO,U32,100,kWh,√,,
27,[ESS] Charge/ discharge power,30599,2,RO,S32,1000,kW,√,,
28,[ESS] Battery SOC,30601,1,RO,U16,10,%,√,,
29,[ESS] Battery SOH,30602,1,RO,U16,10,%,√,,
30,[ESS] Average cell temperature,30603,1,RO,S16,10,°C,√,,
31,[ESS] Average cell voltage,30604,1,RO,U16,1000,V,√,,
32,Alarm1,30605,1,RO,U16,N/A,N/A,√,√,Refer to Appendix 2
33,Alarm2,30606,1,RO,U16,N/A,N/A,√,√,Refer to Appendix 3
34,Alarm3,30607,1,RO,U16,N/A,N/A,√,,Refer to Appendix 4
35,Alarm4,30608,1,RO,U16,N/A,N/A,√,√,Refer to Appendix 5
36,Alarm5,30609,1,RO,U16,N/A,N/A,√,,Refer to Appendix 11
37,Reserved,30610,10,RO,N/A,N/A,N/A,,,
38,[ESS] Maximum battery (cluster) temperature,30620,1,RO,S16,10,°C,√,,
39,[ESS] Minimum battery (cluster) temperature,30621,1,RO,S16,10,°C,√,,
40,[ESS] Maximum battery (cluster) cell voltage,30622,1,RO,U16,1000,V,√,,
41,[ESS] Minimum battery (cluster) cell voltage,30623,1,RO,U16,1000,V,√,,
42,Rated grid voltage,31000,1,RO,U16,10,V,√,√,
43,Rated grid frequency,31001,1,RO,U16,100,Hz,√,√,
44,Grid frequency,31002,1,RO,U16,100,Hz,√,√,
45,[PCS] Internal temperature,31003,1,RO,S16,10,°C,√,√,
46,Output type,31004,1,RO,U16,N/A,N/A,√,√,"0: L/N 1: L1/L2/L3 2: L1/L2/L3/N 3: L1/L2/N"
47,A-B line voltage,31005,2,RO,U32,100,V,√,√,Invalid when output type is L/N, L1/L2/N, or L1/L2/N
48,B-C line voltage,31007,2,RO,U32,100,V,√,√,
49,C-A line voltage,31009,2,RO,U32,100,V,√,√,
50,Phase A voltage,31011,2,RO,U32,100,V,√,√,When output type is L/N, refers to “Phase voltage”
51,Phase B voltage,31013,2,RO,U32,100,V,√,√,Invalid when output type is L/N, L1/L2/N, or L1/L2/N
52,Phase C voltage,31015,2,RO,U32,100,V,√,√,
53,Phase A current,31017,2,RO,S32,100,A,√,√,When output type is L/N, refers to “Phase current”
54,Phase B current,31019,2,RO,S32,100,A,√,√,Invalid when output type is L/N, L1/L2/N, or L1/L2/N
55,Phase C current,31021,2,RO,S32,100,A,√,√,
56,Power factor,31023,1,RO,U16,1000,N/A,√,√,
57,PACK count,31024,1,RO,U16,1,N/A,√,,
58,PV string  count,31025,1,RO,U16,1,N/A,√,√,
59,MPPT count,31026,1,RO,U16,1,N/A,√,√,
60,PV1 voltage,31027,1,RO,S16,10,V,√,√,"Please refer to the PV count listed in Tabel 2-1 in chapter 2, to ensure if the register is available."
61,PV1 current,31028,1,RO,S16,100,A,√,√,
62,PV2 voltage,31029,1,RO,S16,10,V,√,√,
63,PV2 current,31030,1,RO,S16,100,A,√,√,
64,PV3 voltage,31031,1,RO,S16,10,V,√,√,
65,PV3 current,31032,1,RO,S16,100,A,√,√,
66,PV4 voltage,31033,1,RO,S16,10,V,√,√,
67,PV4 current,31034,1,RO,S16,100,A,√,√,
68,PV power,31035,2,RO,S32,1000,kW,√,√,
69,Insulation resistance,31037,1,RO,U16,1000,MΩ,√,√,
70,Startup time,31038,2,RO,U32,1,s,√,√,
71,Shutdown time,31040,2,RO,U32,1,s,√,√,
72,PV5 voltage,31042,1,RO,S16,10,V,√,√,"Please refer to the PV count listed in Tabel 2-1 in chapter 2, to ensure  if the register is available."
73,PV5 current,31043,1,RO,S16,100,A,√,√,
74,PV6 voltage,31044,1,RO,S16,10,V,√,√,
75,PV6 current,31045,1,RO,S16,100,A,√,√,
76,PV7 voltage,31046,1,RO,S16,10,V,√,√,
77,PV7 current,31047,1,RO,S16,100,A,√,√,
78,PV8 voltage,31048,1,RO,S16,10,V,√,√,
79,PV8 current,31049,1,RO,S16,100,A,√,√,
80,PV9 voltage,31050,1,RO,S16,10,V,√,√,
81,PV9 current,31051,1,RO,S16,100,A,√,√,
82,PV10 voltage,31052,1,RO,S16,10,V,√,√,
83,PV10 current,31053,1,RO,S16,100,A,√,√,
84,PV11 voltage,31054,1,RO,S16,10,V,√,√,
85,PV11 current,31055,1,RO,S16,100,A,√,√,
86,PV12 voltage,31056,1,RO,S16,10,V,√,√,
87,PV12 current,31057,1,RO,S16,100,A,√,√,
88,PV13 voltage,31058,1,RO,S16,10,V,√,√,
89,PV13 current,31059,1,RO,S16,100,A,√,√,
90,PV14 voltage,31060,1,RO,S16,10,V,√,√,
91,PV14 current,31061,1,RO,S16,100,A,√,√,
92,PV15 voltage,31062,1,RO,S16,10,V,√,√,
93,PV15 current,31063,1,RO,S16,100,A,√,√,
94,PV16 voltage,31064,1,RO,S16,10,V,√,√,
95,PV16 current,31065,1,RO,S16,100,A,√,√,
96,[DC Charger] Vehicle battery voltage,31500,1,RO,U16,10,V,√,,
97,[DC Charger] Charging current,31501,1,RO,U16,10,A,√,,
98,[DC Charger] Output power,31502,2,RO,S32,1000,kW,√,,
99,[DC Charger] Vehicle SOC,31504,1,RO,U16,10,%,√,,
100,[DC Charger] Current charging capacity,31505,2,RO,U32,100,kWh,√,,Single time
101,[DC Charger] Current charging duration,31507,2,RO,U32,1,s,√,,Single time
